ID,english,label,pred_english,conf_english
581,"LOL, what a fucking gathering of idiots. What did you expect after years (decades) of Islamic entertainment in civilized countries? Action-reaction. Not everyone’s a timid sheep drawing with chalk on sidewalks or leaving flowers... There are still wolves among whites, though, as we know, they’re being hunted down... #attack",1,1,"0.41085100173950195,0.589148998260498"
582,Why hasn’t anyone dealt with those niggers?,1,1,"0.00993951503187418,0.9900604486465454"
583,"Spare those fucking niggers, now ban me and shove a dick up your ass.",1,1,"0.027069760486483574,0.9729301929473877"
584,"Fucking animal, like most with that skin color...",1,1,"0.009436393156647682,0.9905636310577393"
585,"Oh, those poor filthy bastards.",1,0,"0.9047943353652954,0.09520565718412399"
586,"Ordinary Poles will wake up to the truth about Ukrainians much faster than they did with Dawid, for a few simple reasons—in 2020, we didn’t have two years of systematic and deliberate destruction of the economy (and more) by the Warsaw government. Plus, on top of the economic crisis, we’ve got an ethnic one. Of course, the well-paid scum posing as journalists, pundits, and other c(f)elebrities will barely feel these problems. #politics #poland #confederation #4conservatives #war #ukraine #russia",1,1,"0.34869757294654846,0.6513023972511292"
587,"{USERNAME}: Everyone already knows what your fascist national-Catholic shit and your “values” are, and you’re starting to squeal! HA, TFU on you.",1,0,"0.8016239404678345,0.1983761191368103"
588,"Monkeys swing from trees because it’s their nature, and you can’t blame them for that. Blame the people who let monkeys into the house and then act surprised when one’s dangling from the chandelier and another’s shitting in the drawer.",1,0,"0.9977259039878845,0.002274091122671962"
589,"{USERNAME}: Having a fag son is a fucking tragedy for the whole family. I know two such families, and they can’t come to terms with it, though they don’t turn their backs on their kids. But it’s better to have a criminal son than a fag—easier for the family to understand.",1,1,"0.0040353089570999146,0.9959646463394165"
590,{USERNAME}: Fucking animals. What’s the point of the EU fighting climate change when some Indian comes and shits in a ditch? The whole elaborate plan goes to hell.,1,0,"0.6338292360305786,0.366170734167099"
591,"Fucking provocateur. No surprise he got punched in the face. Same with those dumb fags who go to Poland’s backwoods with a pride parade and act shocked when there’s a stink. In both cases, it’s about provocation to claim PiS supporters or conservatives are aggressive pricks. But you could frame any social group like that.",1,1,"0.35569486021995544,0.6443051099777222"
592,{USERNAME}: Spot on. Less intelligent ones end up in ghettos. Monkeys.,1,0,"0.7914626598358154,0.20853741466999054"
593,"> But Wykop users are also against mandatory military service and mobilization xD. Mirko was always full of posts saying only an idiot would fight, and they’d run away. {USERNAME}: Let me explain: The more Russians get screwed and die, the better. Still don’t get it?",1,0,"0.8641337752342224,0.13586625456809998"
594,{USERNAME}: And a model Catholic from Sopot got maybe two years for 150 rapes and selling girls to brothels. Catholics are moral trash.,1,1,"0.1358119696378708,0.864188015460968"
595,That’s why all homo animals should be banned on this planet.,1,1,"0.0016420267056673765,0.9983579516410828"
596,"Finally, someone found a use for nigger kids.",1,1,"0.02572903037071228,0.9742709398269653"
597,"{USERNAME}: It’s not about me but my kids, who are being force-fed LGBT ideology.",1,0,"0.5154750943183899,0.4845249056816101"
598,I dream of waking up one day and finding no more of that Russian shit in the world. What a beautiful world that would be (｡◕‿‿◕｡). #russia #ukraine #war,1,1,"0.3938605487346649,0.6061394810676575"
599,"And let every country take in ragheads. There’ll be more of these incidents, and didn’t Breivik have a point?",1,1,"0.004816414788365364,0.995183527469635"
600,"{USERNAME}: I used to think it was troll accounts to make people think badly of fags, but you guys are just like that. You should be isolated.",1,1,"0.021758556365966797,0.9782414436340332"
601,"American pussies can be sent to the slaughterhouse, and at most, they’ll whine online. A kid who nobly defended others will go to jail. Blacks will fuck him at night, Puerto Ricans in the morning, and it’ll end with a quick suicide. Tfu on Western people with no principles. If they had any self-respect, the moment he was arrested, they’d have hanged the judge and all the officials.",1,1,"0.4457297623157501,0.5542702674865723"
602,#whitepower,1,0,"0.9990308284759521,0.0009691441664472222"
603,"In the USA, niggers are 14 times more likely to shoot whites, even though there are 8 times fewer of them. It’s a fact. #neuropa #leftism #politics",1,1,"0.3093279004096985,0.6906720995903015"
604,"Ooooh, maybe one day I’ll get the chance to deal with an ultra-orthodox kike who wants me to change seats. I’m eagerly waiting. ( ͡° ͜ʖ ͡°)",1,1,"0.005893973633646965,0.9941060543060303"
605,"It’s no secret that Polish, Ukrainian, and Russian women are the biggest whores. Just check SU, Chaturbate, or escort sites. All Ukrainian and Polish chicks in the West.",1,1,"0.0029494925402104855,0.9970505237579346"
606,"{USERNAME}: I believe A. Hitwys was the reincarnation of Jesus and wanted to save the world from Romans, but people didn’t understand and killed him. Just like they crucified Jesus. Just my theory.",1,0,"0.7185989022254944,0.2814010977745056"
607,"Piss on little Jesus! Now, Catholics, off to church to pray for forgiveness for my blasphemies! Don’t skimp on the collection plate—it should rustle, not clink.",1,0,"0.9359341859817505,0.06406577676534653"
608,"{USERNAME}: I don’t see much screwing over of Russians, and they should get their asses kicked just for existing.",1,1,"0.37288811802864075,0.6271119117736816"
609,> Burn them alive for preaching LPG ideology and raping little kids. {USERNAME}: Yes.,1,0,"0.7003300786018372,0.29966995120048523"
610,And so much for friendship with Upadlina. XD But Poles will probably tuck their tails.,1,1,"0.0330226793885231,0.9669773578643799"
611,"You go to work, and from morning to evening, you have to deal with these animals. And in the end, a reward... Only pity for those cops. And those celebrities supporting the nigger’s family. Dear [pseudonym], delete, delete, you don’t even have the guts to reply to emails explaining why comments get removed.",1,1,"0.022782275453209877,0.9772177338600159"
612,"Before the kike [surname] kicks the bucket, he’s gotta fix the world his way instead of enjoying retirement. And then they wonder why people pick on poor Jews for no reason. But why’s it always some Jew fixing the world? Marx, Lenin, and the rest of that commie crew. Now [surname], [surname], and probably many others. God, listening to Hitler’s speeches about Jews, he was totally jeepright about jeep by xD",1,1,"0.1555289477109909,0.8444710373878479"
613,"I often play chess on chess.com by . When losing to people from UAE, Qatar, Iraq, Pakistan, and other Arab countries, comments like “you losing white boy,” “your god is shit,” “fuck Europe” are standard. How did you guys suppose those types are to be tolerated toward me? They’re animals. #politics #neuropa #4conservatives #mockingleftism from leftism",1,0,"0.9913177490234375,0.008682254701852798"
614,Fuck the LGBT hippo.,1,1,"0.03144286945462227,0.9685570597648621"
615,"{USERNAME}: Ooooh, I see the shit’s running down your legs from the shock. You can shove your pathetic insults up your ass because a sorry bastard like you can’t offend me. I bet we’d need to kick you to Belarus or some other shithole before sending that nigger back to Africa XD.",1,1,"0.0009583279024809599,0.9990416169166565"
616,"Let him fuck off to an Islamic paradise now ;) Maybe then he’ll understand the power of white civilization and white people, the master race above all :P",1,1,"0.06554014980792999,0.9344598650932312"
617,"> Are you suggesting Ukrainians are dictating how the Polish language should change? {USERNAME}: I don’t know, but random Wykop losers sure as hell won’t decide. Either way, we’ll win the war in UKRAINE and chase off the kacap scum. From Poland too (⌐ ͡■ ͜ʖ ͡■).",1,1,"0.03974461928009987,0.9602554440498352"
618,Just shoot at the border—animals only understand the language of force ¯\_(ツ)\_/¯,1,0,"0.9965781569480896,0.003421829082071781"
619,{USERNAME}: Niggers fucked monkeys.,1,0,"0.8190461993217468,0.18095378577709198"
620,Typical Chinese pig eating from a plate like a dog.,1,0,"0.935370683670044,0.06462935358285904"
621,"Let the chink fuck off. He can grab his own kind by the face, the ones washing their mugs in urinals, not Europeans.",1,1,"0.0019859345629811287,0.9980140924453735"
622,"{USERNAME}: {USERNAME}: Get lost, you Romanian lambada slut, molested by a Bulgarian patrol, probably groped by a RUssian through a wall until your ears perked up, with a clit like the Titanic’s anchor! Now… shut up when I’m talking to you, ‘cause your breath stinks like a nigger’s hut!",1,1,"0.001752116484567523,0.9982478618621826"
623,"Chop their fucking heads off right at the ass and send their whole family, five generations back, to the shitty hole in the ground called Afghanistan.",1,1,"0.11286761611700058,0.8871323466300964"
624,{USERNAME}: lgbtq+p ? :-D:-D:-D,1,0,"0.9990498423576355,0.0009501753374934196"
625,{USERNAME}: {USERNAME}: You expect that fucking nigger to think? XD The moron didn’t even consider that stealing could land him straight in jail with his buddies.,1,1,"0.01720796339213848,0.9827920794487"
626,"So, has the Russian whore been dumped at the Kaliningrad border yet? The pig belongs in a slaughterhouse, not among civilized people. And what’s that Russian louse doing there anyway??? They claim they’re fleeing because Putin doesn’t suit them, but wherever they go, they praise their shitty kacap mir.",1,1,"0.05360889062285423,0.9463911056518555"
627,"{USERNAME}: This “right-wing” at least fights on the front against Russian “separatists,” while LGBT pussies hold marches in Kyiv, and the left-wing opposition plays into Russia’s hands.",1,0,"0.5272312760353088,0.4727686941623688"
628,{USERNAME}: Old hags destroyed Warsaw and slaughtered civilians—heroines.,1,0,"0.8799824714660645,0.12001757323741913"
629,"{USERNAME}: I saw a worse video of some fucking ISIS shepherd stomping on a 2–3-year-old kid—can’t unsee it. We should smear them with pig’s blood, bullet to the head, and with women, record it all like they do and post it online.",1,1,"0.3957007825374603,0.6042992472648621"
630,{USERNAME}: Typical immigrant scum.,1,1,"0.011237120255827904,0.9887629151344299"
631,"{USERNAME}: Awesome > But is that black thing a guy or a girl? I’m not sure. I don’t know how to comment, but only trash would call another human “that black thing.”",1,0,"0.9974958300590515,0.0025041275657713413"
632,"That’s it for now. I’m off to watch a movie, so behave on this tag, or I’ll come back and flick your noses ( ͡° ͜ʖ ͡°). BTW, what happened to your buddy, that Vietnamese filthy? High and passed out? Good. Call me when he’s back. #reportfromthemiddlekingdom",1,1,"0.029314087703824043,0.9706858396530151"
633,Looks like p0lish w0men are happy to take shit in their mouths—no need to fly to Dubai anymore.,1,1,"0.09904400259256363,0.9009559154510498"
634,"Time for attacks in Moscow :) That’d be beautiful, hehehe.",1,1,"0.4468172490596771,0.5531827211380005"
635,Look at the monkey doing tricks.,1,0,"0.9867904782295227,0.01320958323776722"
636,"That thing’s IQ is so low you never know what’ll pop into its empty head. The civilized world should wall them off, or bring back the good old days when they were useful for something.",1,0,"0.9648114442825317,0.03518851473927498"
637,{USERNAME}: Too bad the Russian fuck didn’t die.,1,1,"0.09783469140529633,0.9021652936935425"
638,Russki scum in action against defenseless civilians. Karma will catch up with them…,1,0,"0.7867180705070496,0.21328195929527283"
639,"{USERNAME}: Imagine you’re in a crowd, say in New York or Beijing, and someone stabs you. According to you all, you’d have the right to pull out a knife and slash everyone around? I’m not saying we should stop helping or start fucking over Ukrainians at every turn. I just want the assholes who did it (specific military guys responsible for those rockets) to be held accountable.",1,0,"0.6849408745765686,0.315059095621109"
640,"Fun fact: Only two entities in human history have committed no sins: - The Ever-Holy Virgin Mary - The Polish nation P.S. If Jews don’t stop falsely accusing us of antisemitism, we’ll go to Israel and wipe out that filthy, slimy nation of hook-nosed usurers and world plague. Taki na your image of a Polishness defender.",1,1,"0.07265713810920715,0.9273428320884705"
641,Ambitious. A program snippet taken out of context and a mob of howling niggers.,1,1,"0.02248332090675831,0.9775166511535645"
642,{USERNAME}: Animals have more dignity than that rainbow cattle.,1,0,"0.7869039177894592,0.21309605240821838"
643,"{USERNAME}: He’s right. I’d never sleep with a chick who’d been with a raghead or nigger. I find it disgusting, and I don’t give a shit what anyone thinks. As for this post, I hope the police nail you for sharing the image of a random person who dared not agree with your love for defiling your body with black dicks.",1,1,"0.0025591906160116196,0.9974408149719238"
644,{USERNAME}: No pity for the Ukrainian.,1,0,"0.8380699157714844,0.16193009912967682"
645,{USERNAME}: Defending one of their own. There are plenty of pedophiles among priests and bishops. LGBT is an institution looking out for its own.,1,0,"0.8181751370429993,0.18182486295700073"
646,"Beautiful, good luck, and fuck those Russian whores!!!!",1,1,"0.0034088208340108395,0.9965912103652954"
647,"I’d love to go there with my air rifle and take some shots at migrants, teach them a lesson.",1,0,"0.5920770764350891,0.40792298316955566"
648,I think the right to kill Russians without legal consequences should be added to the charter of basic human rights. What do you think of this idea? Cheers. #war #russia #ukraine,1,0,"0.6739030480384827,0.3260969817638397"
649,"What help, for who? Officials will show up with asylum applications… except not to Germany, but Poland, and we’ll be stuck dealing with them in asylum centers while they escape, wrecking infrastructure along the way. That kind of help is useless. What’s needed here are cannons and live ammo, not rainbow officials.",1,1,"0.42174702882766724,0.5782529711723328"
650,"{USERNAME}: If Russian scum hadn’t shelled Ukrainian cities from one of those ships, they’d probably still be sailing.",1,1,"0.24984829127788544,0.7501516938209534"
651,"{USERNAME}: You write that transgenderism isn’t a disorder. There’s male, female, and male with disorders mixed in, etc. LGBT isn’t even a disorder—it’s a fucked-up brain, man. I hope a random passerby educates you. I hope you fags die out.",1,1,"0.015041626989841461,0.9849584102630615"
652,{USERNAME}: You rainbow dick.,1,1,"0.40965536236763,0.5903446674346924"
653,"{USERNAME}: Oh, look, the Catholics are flocking to defend pedophiles in cassocks.",1,1,"0.49379122257232666,0.5062087774276733"
654,{USERNAME}: You also have to consider that niggers are stupid.,1,0,"0.6075388193130493,0.39246121048927307"
655,"{USERNAME}: Those Russkis aren’t just stupid, they’re probably fucking retarded.",1,1,"0.10085968673229218,0.8991403579711914"
656,"{USERNAME}: When they take the worst scum, fucking losers, into their army.",1,0,"0.518048107624054,0.48195192217826843"
657,"{USERNAME}: Shut your fucking mouth, dude, the whole situation is solely the Russians’ fault. I don’t know how I’d act in that Ukrainian’s place, but I’d sure as hell be glad I helped repel the attack of the fucking cattle...",1,1,"0.06478051096200943,0.9352194666862488"
658,"{USERNAME}: Or Toto, it’s his nigger, lol XD.",1,1,"0.11435756832361221,0.8856424689292908"
659,"{USERNAME}: Women are fucked up, so probably yeah.",1,0,"0.7002602219581604,0.2997397184371948"
660,{USERNAME}: I’m not poisoned by hatred toward Russians. I’ve hated Russia since I read my first history book...,1,0,"0.8227522373199463,0.1772477775812149"
661,"{USERNAME}: All chicks are fucking whores, bro.",1,0,"0.6801486611366272,0.3198513686656952"
662,You’d have to be a complete fucking idiot to organize some pedo marches in Podlasie. Białystok isn’t progressive fucking Warsaw. ( ͡° ͜ʖ ͡°),1,0,"0.991751492023468,0.008248500525951385"
663,Soon we’ll reach the stage where Wykop tards will be fucking cheering when the Ukies start building concentration camps for Russians. You fucking dumb cattle.,1,0,"0.7052493691444397,0.2947505712509155"
664,"{USERNAME}: Go fucking start your own Ukrainian portal. Why the fuck are you crawling to fucking Poles? What, are they your brothers?",1,0,"0.8466287851333618,0.153371199965477"
665,">If he’s useless, he’ll strap on a suicide belt, wear a Russian uniform, and charge the enemy...",1,0,"0.6450263261795044,0.3549736738204956"
666,"Just stabbed a German, he died pretty fucking nicely. Nice. #neuropa",1,0,"0.5595112442970276,0.4404887855052948"
667,"Good for the fags! There was a flag, now it’s gone!",1,0,"0.6149723529815674,0.3850276470184326"
668,> Christianity is the foundation...,1,0,"0.9981741905212402,0.0018257707124575973"
669,"Onet says Russian whores were shooting civilians, but it’s too brutal to show. Anyone got a link? #ukraine",1,0,"0.6813433766365051,0.31865665316581726"
670,Fewer drunk Brits and fucked-up Latinos.,1,1,"0.01276939082890749,0.9872305989265442"
671,"{USERNAME}: If I smack some uniformed lackey in the face, the colors in his faggy rainbow will get all fucked up.",1,1,"0.3098333179950714,0.6901666522026062"
672,"Just like the stereotype of leftist fags: rubber devotionals in the cupboard, ‘fuck me’ thongs folded in the drawer with rainbow socks...",1,0,"0.8729514479637146,0.12704850733280182"
673,Always and everywhere Ukraine will get fucked!,1,0,"0.5548907518386841,0.44510918855667114"
674,You’d wanna say like that grandpa in the funny video: ‘Fucking Jewish bastards…’,1,0,"0.9696992039680481,0.03030073083937168"
675,"Today’s hot posts fucking killed me, the nosacz meme got too real, and that confession about p0lkas being whores hit hard ‘cause I see how they are here in England.",1,1,"0.0018619614420458674,0.9981380701065063"
676,"Fuck, niggers are fucking monkeys again. They got HIV from it before, now this—they don’t fucking learn from their mistakes.",1,1,"0.006275740452110767,0.9937242865562439"
677,{USERNAME}: Another example that rainbow leftism is just regular human scum not deserving any fucking respect.,1,0,"0.5823809504508972,0.4176190197467804"
678,"Russian outcasts xD. Flight bans, SWIFT cutoff, and product boycotts…",1,0,"0.999394416809082,0.0006055476842448115"
679,> Will he live?...,1,0,"0.9308252930641174,0.06917471438646317"
680,I was in Sweden a few months ago and met a gorgeous Swede who went to Dubai...,1,0,"0.9995037317276001,0.0004962245584465563"
681,#putin and #russia are total fucking whores. It’s a shame #ukraine and the whole world have to sacrifice economically ‘cause some fucking orc moron thought he’s fucking somebody xDD...,1,0,"0.5972857475280762,0.40271422266960144"
682,"{USERNAME}: Fleeing war? XD. How many fucking stinkers have I seen who came just for welfare, or they get drunk on park benches...",1,0,"0.9103875756263733,0.0896124541759491"
683,"{USERNAME}: Haha, they taught you Polish, but Russia’s filth always gives you away, hehehe. Russian whore, you stink of that shit—Russia—from a mile away...",1,1,"0.08866661041975021,0.9113333821296692"
684,"{USERNAME}: I live in my country, I’M POLISH, and I’m supposed to live under a Jew, tfu. Hitler’s rolling in his grave hearing what they’re doing...",1,0,"0.7958319187164307,0.20416811108589172"
685,HITLER TOLD THE TRUTH ABOUT JEWS,1,0,"0.6801926493644714,0.3198073208332062"
686,"{USERNAME}: I’ll generate social tensions and conflicts for you, idiot, like when Janusz fires your mom from cleaning toilets...",1,0,"0.8235281109809875,0.17647193372249603"
687,Nigger,1,0,"0.7915317416191101,0.20846828818321228"
688,{USERNAME}: What’s your deal? Did the sun fry your brain?...,1,0,"0.9347994327545166,0.065200574696064"
689,"> It doesn’t matter, ‘cause pedophiles aren’t part of the LGBT movement...",1,0,"0.6727683544158936,0.32723164558410645"
690,"Show your refugee footage, TVN whores: you see old, sick people, kids…",1,0,"0.9791029095649719,0.020897086709737778"
691,"They rightly wrote that Ukrainians are a race, such mutts among people ( ͡° ͜ʖ ͡°).",1,1,"0.10829227417707443,0.8917076587677002"
692,{USERNAME}: Everything would be fine if those whores didn’t lie...,1,1,"0.051790207624435425,0.9482097625732422"
693,{USERNAME}: Everyone knows you’re Russian trash.,1,1,"0.10685316473245621,0.893146812915802"
694,> Simon Ostrovsky...,1,0,"0.9995864033699036,0.00041362509364262223"
695,"{USERNAME}: I was in Cyprus near a refugee camp, and I confirm...",1,0,"0.917412281036377,0.08258774131536484"
696,"They chose the worst path ‘cause we’re not letting this cattle in, and they better avoid our streets at night if they’re ‘wandering’ ( ͡º ͜ʖ͡º).",1,0,"0.8717105388641357,0.12828947603702545"
697,{USERNAME}: All Russians to the grave—they’re not fucking human.,1,1,"0.2307935208082199,0.7692064642906189"
698,"{USERNAME}: Exactly. They had it the worst, yet they keep fucking up kacaps.",1,0,"0.6593050360679626,0.34069493412971497"
699,#niggaslivebelongtootherniggas,1,0,"0.9711795449256897,0.028820455074310303"
700,"And good, a few dumb niggers less, and the world’s instantly better :).",1,1,"0.041097305715084076,0.9589026570320129"
701,"{USERNAME}: It’d be so fucking beautiful if anarchists took out that Russian whore, not politicians.",1,1,"0.22330863773822784,0.7766913175582886"
702,{USERNAME}: Character starts to matter and gets noticed by the hose when her expiration date hits...,1,0,"0.9290425777435303,0.07095739990472794"
703,"{USERNAME}: Silesian cunts openly say they don’t feel like Polish citizens, you moron xD...",1,0,"0.5964229106903076,0.40357714891433716"
704,"And how did it spread to humans? Probably some fag was banging monkeys, caught a mutated virus, and spread it through the ‘community’ ( ͡° ͜ʖ ͡°).",1,1,"0.22743964195251465,0.7725603580474854"
705,"{USERNAME}: Lol at the fags, their asses hurt so bad.",1,1,"0.02363847941160202,0.9763615131378174"
706,"One attack on ragheads, and suddenly amnesia about all the attacks they pulled off—greetings...",1,1,"0.243687704205513,0.7563122510910034"
707,"The nigger isn’t going down on the cow; he’s blowing into her cunt to stimulate lactation. Educate yourself, Romanian.",1,1,"0.012481415644288063,0.9875186085700989"
708,{USERNAME}: Classic setup. She put out on the 2nd or 3rd date ‘cause doing it on the first would make her a whore...,1,1,"0.16479036211967468,0.8352096080780029"
709,{USERNAME}: I agree with you and give you a plus. It’s all about proper education at home...,1,0,"0.8072314262390137,0.19276858866214752"
710,"{USERNAME}: ‘Cause those Japanese whores supposedly have mega-wombs, so Euro-Chads or US-Chads don’t faze them.",1,1,"0.05886298045516014,0.9411369562149048"
711,"Just kill off the pensioners, and the problem will solve itself.",1,1,"0.4661269783973694,0.5338730216026306"
712,"{USERNAME}: Backward **? Dude, society isn’t backward—it’s fucking faggotry trying to shove its ideology down our throats! And demanding we accept it. In Islam, they beat women, lynch, rape, etc. Do you accept that??? Probably not, but they do it and demand we understand! Is that sick? Yes, and it’s the same with leftist views and fucking gayness… ‘cause we’re supposed to respect it ‘cause that’s how you are. Start respecting that for years people don’t want to hear this shit, like it’s always been! And now the leftist change begins! We’re supposed to listen, respect. Sure, you existed when you stayed home, but now you’ve turned society even more against you, hiding behind political correctness.",1,1,"0.02085278555750847,0.9791472554206848"
713,{USERNAME}: Half of this NATO is Mexicans and other shit. Drive through Rzeszów or Mielec and see what those American soldiers look like xd.,1,0,"0.7641357779502869,0.23586414754390717"
714,"Jewish vermin show their true face. Too bad Hitler didn’t finish the job, or at least they shouldn’t have agreed to create that criminal enclave.",1,1,"0.029244769364595413,0.9707552790641785"
715,"{USERNAME}: He’d get a punch in the face and told to fuck off, but ragheads would cut his head off right away—that’s what sets us apart.",1,1,"0.020347535610198975,0.9796524047851562"
716,"I hope one day there’ll be designated queue spots so old cunts don’t cut in—fuck, you can’t deal with these old hags.",1,1,"0.0007784894551150501,0.9992214441299438"
717,"Some fucking leftist reported my comment, so I’ll keep posting until they stick. All TV stations and YouTube should launch a year-long anti-LGBT campaign to teach those bastards a lesson. Someone should hack them and do it.",1,0,"0.9821296334266663,0.01787039451301098"
718,I’m waiting for Uncle Trump to roll in and bodies to pile up thick. Jobless niggers and leftists should be sent to a ghetto for their utopia without cops or evil white working families ¯(ツ)/¯.,1,1,"0.03144380822777748,0.9685561656951904"
719,Better to gut Kadyrovites and hang them at crossroads for Russians to admire.,1,1,"0.20249620079994202,0.7975037693977356"
720,{USERNAME}: Go back to Ukraine you Ukrainian shit,1,0,"0.7174603343009949,0.2825396656990051"
721,NEVER MIND I'LL FIND SOMEONE LIKE YOUUUUU (ⴲ﹏ⴲ)/ #improvinghitlersimage,1,0,"0.9610356092453003,0.038964394479990005"
722,"Busy moving, but I see some Russki whore got paint splashed on her face? Fucking right. #ukraine",1,1,"0.0853612944483757,0.9146386981010437"
723,One university from Saudi Arabia? What do they teach there? 100 goat-raping techniques? :D,1,0,"0.9954301118850708,0.004569923505187035"
724,"{USERNAME}: Radziu’s got his mind made up—he doesn’t watch, he just fucks kids like a purebred pedo-Jew ( ͡° ͜ʖ ͡°).",1,1,"0.40414348244667053,0.5958564877510071"
725,"{USERNAME}: You wouldn’t find true love anyway, ‘cause p0lkas are entitled whores. Chill and don’t make a drama.",1,1,"0.0018983162008225918,0.9981016516685486"
726,"Let me guess, this guy supports LGBTP+… so #neuropa will swarm and start burying it…",1,0,"0.9953800439834595,0.004619940649718046"
727,"{USERNAME}: Madam Speaker, esteemed chamber, I just wanted to say: p0lish w0men are whores, thank you for your attention.",1,1,"0.0019588039722293615,0.9980411529541016"
728,{USERNAME}: Go back to fucking around with dirtbags.,1,0,"0.6915783286094666,0.30842167139053345"
729,"Quintessence of LPG, rainbow fucked-up heads. When I see something that looks female (high chance of a pussy), half the head shaved, the other half pink, I don’t need to know more! It’s obviously the fascist LPG crowd.",1,0,"0.7100598812103271,0.28994008898735046"
730,LGBTWHORES,1,0,"0.9775850176811218,0.022415032610297203"
731,"Fuck, I’m scared to open the fridge now—who knows if some rainbow pedophile’s hiding in there.",1,1,"0.006086409091949463,0.9939135909080505"
732,"{USERNAME}: I’m not a neonazi like the rainbow crowd, so it’s a huge difference—you don’t get it.",1,0,"0.8923124670982361,0.1076875850558281"
733,> Cool initiative. {USERNAME}: Very cool. Shows what morons are in LGBT organizations.,1,1,"0.2925603985786438,0.7074396014213562"
734,A good Jew is a dead Jew.,1,1,"0.09246385842561722,0.9075361490249634"
735,"{USERNAME}: Very good, let them stir up more shit. Society’s hatred for this cattle is growing—hopefully soon the scales will tip, and politicians will see that fucking over miners wins them support.",1,0,"0.7420960068702698,0.25790396332740784"
736,"If there’s really a #war because of #belarus, we’ll be fleeing west like those dirtbags ( ͡° ͜ʖ ͡°).",1,1,"0.24971038103103638,0.7502896189689636"
737,"Hey, Catholics… One day a fag will be president or prime minister of this backward land. And then what? He’ll do it your way and bury you? REMEMBER - THAT DAY WILL COME!!!",1,1,"0.030125627294182777,0.9698743224143982"
738,"Alright, guys from #losers #cumrags, Chad’s probably already fucked, so fuck it. When it’s all over, we take a special unit to China and punish every woman we meet with rape. #rainbow will shove it up Chinese asses till they howl in pain. Polish Hussar Great Poland will give them their own Hiroshima. Our descendants will be our plague, destroying them from within. Then we’ll take on Mongolia, ‘cause they brought the Black Death to Europe.",1,1,"0.24826395511627197,0.7517361044883728"
739,"#ukraine My dream is the total extermination of the criminal Russian nation, so we’ll have world peace, and heroic Ukrainians and other oppressed countries can finally live calmly. Rag [pseudonym], ban me, I don’t give a fuck about your kacap mentality—nothing and no one will change that a dead Russian = the best option for us. Calling for the killing and death of these fucking savages should be taught in schools from a young age, ‘cause NO NATION has or will ever harm us more or fuck up our country worse. Every Pole worldwide should know Russia is our greatest threat, and Russians are rapists and murderers. Cheers.",1,1,"0.07833317667245865,0.9216668605804443"
740,"Obviously, the rainbow crowd are fascists. ‘Do as I say, not as I do.’",1,0,"0.7302146553993225,0.2697853744029999"
741,"That loser calling the prankster acts like he’s calling someone from the Russian Federation. Those Russian shits think Ukraine’s their territory. The guy roasted the Russian trash nicely. Could’ve insulted Putin a bit better, though ( ͡° ͜ʖ ͡°).",1,0,"0.6458802819252014,0.35411974787712097"
742,So much Russian scum has multiplied here… unbelievable. Information is a battlefield too. The Polish Army should handle this. Where’s the defense against the enemy of the Polish Nation? #war #rags,1,0,"0.5953019261360168,0.40469807386398315"
743,"> I’ve been into this for at least a dozen years—manga’s full of male characters wearing women’s clothes, with delicate builds, acting super feminine. {USERNAME}: But there it fits. Not like forcefully shoved-in niggers and fags spouting cringy nonsense.",1,1,"0.011876522563397884,0.9881234765052795"
744,{USERNAME}: I always knew Catholics and Islamists are the same fucking scum.,1,1,"0.45560386776924133,0.544396162033081"
745,"Women are only good for fucking. Don’t tie them to any other activities, or you’ll be fucking disappointed. Hoping for an interesting talk, deep thoughts, discussing big topics? Talk to a buddy over beer or a professor at uni. With a woman, stick to Netflix and small talk—their brains don’t need more. Having a bad day, looking for inspiration, support, a hug? Definitely not from your woman. You’ll just show weakness and give her a reason to swap you for someone else without a hitch. Don’t expect support from a woman. Look at the average relationship—everything revolves around her, every decision. A man setting conditions or demands is on a fast track to being replaced :) Approach",1,1,"0.1992410272359848,0.8007590174674988"
746,"{USERNAME}: Backward **? Dude, society isn’t backward—it’s fucking faggotry trying to shove its ideology down our throats! And demanding we accept it. In Islam, they beat women, lynch, rape, etc. Do you accept that??? Probably not, but they do it and demand we understand! Is that sick? Yes, and it’s the same with leftist views and fucking gayness… ‘cause we’re supposed to respect it ‘cause that’s how you are. Start respecting that for years people don’t want to hear this shit, like it’s always been! And now the leftist change begins! We’re supposed to listen, respect. Sure, you existed when you stayed home, but now you’ve turned society even more against you, hiding behind political correctness.",1,1,"0.02085278555750847,0.9791472554206848"
747,{USERNAME}: Half of this NATO is Mexicans and other shit. Drive through Rzeszów or Mielec and see what those American soldiers look like xd.,1,0,"0.7641357779502869,0.23586414754390717"
748,"Jewish vermin show their true face. Too bad Hitler didn’t finish the job, or at least they shouldn’t have agreed to create that criminal enclave.",1,1,"0.029244769364595413,0.9707552790641785"
749,"{USERNAME}: He’d get a punch in the face and told to fuck off, but ragheads would cut his head off right away—that’s what sets us apart.",1,1,"0.020347535610198975,0.9796524047851562"
750,"I hope one day there’ll be designated queue spots so old cunts don’t cut in—fuck, you can’t deal with these old hags.",1,1,"0.0007784894551150501,0.9992214441299438"
